Date,Open,High,Low,Close,Adj Close,Volume
1993-01-01,0.531250,0.558036,0.511161,0.544643,0.446456,868929600
1993-01-08,0.542411,0.582589,0.533482,0.580357,0.475732,1508270400
1993-01-15,0.544643,0.555804,0.517857,0.535714,0.439137,1853465600
1993-01-22,0.537946,0.553571,0.524554,0.534598,0.438222,1045497600
1993-01-29,0.537946,0.549107,0.522321,0.531250,0.435478,1161328000
1993-02-05,0.529018,0.531250,0.491071,0.492188,0.403458,1323907200
1993-02-12,0.491071,0.495536,0.459821,0.491071,0.402542,1212836800
1993-02-19,0.493304,0.500000,0.465402,0.488839,0.401586,924425600
1993-02-26,0.484375,0.493304,0.466518,0.491071,0.403420,952918400
1993-03-05,0.488839,0.513393,0.488839,0.507813,0.417174,720563200
1993-03-12,0.506696,0.515625,0.486607,0.486607,0.399753,646419200
1993-03-19,0.491071,0.493304,0.468750,0.488839,0.401586,735952000
1993-03-26,0.488839,0.488839,0.448661,0.462054,0.379582,1008761600
1993-04-02,0.450893,0.457589,0.433036,0.444196,0.364911,897612800
1993-04-09,0.441964,0.457589,0.417411,0.421875,0.346575,646296000
1993-04-16,0.430804,0.453125,0.422991,0.446429,0.366746,1517656000
1993-04-23,0.444196,0.464286,0.433036,0.453125,0.372247,612304000
1993-04-30,0.453125,0.495536,0.453125,0.479911,0.394252,691868800
1993-05-07,0.477679,0.498884,0.473214,0.495536,0.407088,845152000
1993-05-14,0.493304,0.526786,0.486607,0.524554,0.430927,813825600
1993-05-21,0.524554,0.527902,0.494420,0.513393,0.421758,798089600
1993-05-28,0.508929,0.520089,0.500000,0.503348,0.413506,676356800
1993-06-04,0.497768,0.502232,0.381696,0.397321,0.327086,3049211200
1993-06-11,0.401786,0.404018,0.361607,0.368304,0.303198,1702657600
1993-06-18,0.371652,0.376116,0.352679,0.372768,0.306873,1324814400
1993-06-25,0.360491,0.363839,0.339286,0.339286,0.279310,1323470400
1993-07-02,0.341518,0.348214,0.323661,0.325893,0.268284,712891200
1993-07-09,0.330357,0.345982,0.314732,0.319196,0.262771,1073206400
1993-07-16,0.254464,0.264509,0.227679,0.236607,0.194781,4125822400
1993-07-23,0.241071,0.245536,0.232143,0.243304,0.200295,798380800
1993-07-30,0.245536,0.274554,0.241071,0.263393,0.216832,1059598400
1993-08-06,0.261161,0.270089,0.232143,0.236607,0.194781,945257600
1993-08-13,0.236607,0.265625,0.234375,0.245536,0.202132,690289600
1993-08-20,0.247768,0.256696,0.236607,0.239955,0.198407,614286400
1993-08-27,0.241071,0.241071,0.225446,0.229911,0.190102,1096009600
1993-09-03,0.232143,0.241071,0.225446,0.232143,0.191948,682640000
1993-09-10,0.234375,0.236607,0.209821,0.220982,0.182719,1010598400
1993-09-17,0.217634,0.227679,0.213170,0.220982,0.182719,671003200
1993-09-24,0.223214,0.225446,0.205357,0.208705,0.172568,795950400
1993-10-01,0.203125,0.214286,0.196429,0.205357,0.169800,1015324800
1993-10-08,0.207589,0.223214,0.198661,0.212054,0.175337,944585600
1993-10-15,0.247768,0.279018,0.238839,0.270089,0.223323,2267339200
1993-10-22,0.272321,0.287946,0.258929,0.276786,0.228861,1541209600
1993-10-29,0.276786,0.294643,0.270089,0.287946,0.238088,829416000
1993-11-05,0.284598,0.287946,0.265625,0.280134,0.231629,935681600
1993-11-12,0.281250,0.312500,0.272321,0.299107,0.247317,1020880000
1993-11-19,0.294643,0.299107,0.279018,0.294643,0.243626,550177600
1993-11-26,0.292411,0.294643,0.276786,0.283482,0.235240,464688000
1993-12-03,0.283482,0.290179,0.265625,0.267857,0.222274,563651200
1993-12-10,0.270089,0.272321,0.247768,0.262277,0.217643,1285502400
1993-12-17,0.263393,0.265625,0.236607,0.243304,0.201899,993641600
1993-12-24,0.247768,0.270089,0.243304,0.265625,0.220421,741339200
1993-12-31,0.265625,0.303571,0.258929,0.292411,0.242649,1606315200
1994-01-07,0.285714,0.302455,0.265625,0.273438,0.226905,1826496000
1994-01-14,0.274554,0.283482,0.256696,0.266741,0.221348,1272700800
1994-01-21,0.296875,0.314732,0.287946,0.304688,0.252837,2412670400
1994-01-28,0.305804,0.310268,0.287946,0.299107,0.248206,815987200
1994-02-04,0.299107,0.334821,0.296875,0.325893,0.270433,1853857600
1994-02-11,0.323661,0.339286,0.323661,0.330357,0.275123,806747200
1994-02-18,0.325893,0.341518,0.319196,0.327009,0.272334,822035200
1994-02-25,0.330357,0.332589,0.310268,0.319196,0.265828,1055140800
1994-03-04,0.321429,0.340402,0.319196,0.332589,0.276981,1115598400
1994-03-11,0.330357,0.343750,0.323661,0.325893,0.271405,1111488000
1994-03-18,0.328125,0.328125,0.303571,0.309152,0.257463,1117793600
1994-03-25,0.310268,0.310268,0.281250,0.296875,0.247239,1218616000
1994-04-01,0.287946,0.305804,0.283482,0.297991,0.248168,472662400
1994-04-08,0.301339,0.303571,0.267857,0.281250,0.234226,875638400
1994-04-15,0.279018,0.281250,0.241071,0.264509,0.220284,1277281600
1994-04-22,0.279018,0.285714,0.254464,0.270089,0.224931,1321768000
1994-04-29,0.267857,0.301339,0.263393,0.293527,0.244450,1003396800
1994-05-06,0.287946,0.292411,0.263393,0.265067,0.220749,727720000
1994-05-13,0.265625,0.290179,0.256696,0.286830,0.238873,805548800
1994-05-20,0.283482,0.287946,0.267857,0.272321,0.226790,553694400
1994-05-27,0.270089,0.274554,0.242188,0.244420,0.203554,1136766400
1994-06-03,0.242188,0.250000,0.227679,0.241071,0.201558,1187659200
1994-06-10,0.242188,0.250000,0.233259,0.235491,0.196892,767692800
1994-06-17,0.232143,0.243304,0.222098,0.224330,0.187561,985420800
1994-06-24,0.224330,0.242188,0.219866,0.236607,0.197825,960332800
1994-07-01,0.235491,0.241071,0.226563,0.239397,0.200158,532660800
1994-07-08,0.236607,0.270089,0.235491,0.255580,0.213688,1187894400
1994-07-15,0.252093,0.258929,0.235491,0.250000,0.209023,794606400
1994-07-22,0.282366,0.286830,0.267857,0.284598,0.237950,1777137600
1994-07-29,0.284598,0.303571,0.284598,0.296875,0.248215,1466203200
1994-08-05,0.293527,0.313616,0.293527,0.306362,0.256147,858547200
1994-08-12,0.306920,0.315848,0.302455,0.309152,0.258480,947900800
1994-08-19,0.310268,0.324777,0.305804,0.313058,0.262652,967792000
1994-08-26,0.314732,0.333705,0.309152,0.312500,0.262184,1094508800
1994-09-02,0.314732,0.327009,0.312500,0.322545,0.270611,555464000
1994-09-09,0.319196,0.323661,0.312500,0.321429,0.269675,710046400
1994-09-16,0.320313,0.332589,0.300223,0.302455,0.253756,1116830400
1994-09-23,0.302455,0.308036,0.297991,0.304688,0.255630,574313600
1994-09-30,0.304688,0.340402,0.290179,0.323661,0.271548,1600401600
1994-10-07,0.322545,0.382813,0.316964,0.367188,0.308066,2852729600
1994-10-14,0.370536,0.376116,0.347098,0.366071,0.307129,1517958400
1994-10-21,0.363839,0.390625,0.363839,0.381696,0.320239,1184870400
1994-10-28,0.378348,0.388253,0.366071,0.370536,0.310875,1176593600
1994-11-04,0.370536,0.383929,0.357143,0.368862,0.309471,1213374400
1994-11-11,0.368304,0.383929,0.356027,0.357143,0.299639,707358400
1994-11-18,0.357143,0.361607,0.324777,0.329241,0.276229,901779200
1994-11-25,0.329241,0.351563,0.321429,0.323103,0.271895,988388800
1994-12-02,0.325893,0.342634,0.318080,0.320313,0.269547,897780800
1994-12-09,0.320313,0.342634,0.310268,0.331473,0.278938,1143027200
1994-12-16,0.332589,0.351563,0.328125,0.344866,0.290209,978264000
1994-12-23,0.343750,0.356027,0.341518,0.352679,0.296783,386310400
1994-12-30,0.351563,0.356027,0.338170,0.347098,0.292087,409281600
1995-01-06,0.371652,0.429129,0.366071,0.405134,0.340925,3391102400
1995-01-13,0.411830,0.411830,0.393973,0.409598,0.344682,1312416000
1995-01-20,0.419643,0.419643,0.350446,0.352679,0.296783,2380459200
1995-01-27,0.356027,0.373884,0.348214,0.371652,0.312750,1103883200
1995-02-03,0.375000,0.391741,0.352679,0.389509,0.327776,1642099200
1995-02-10,0.389509,0.397321,0.379464,0.385603,0.324489,1203204800
1995-02-17,0.382813,0.383929,0.357143,0.358817,0.302779,1031497600
1995-02-24,0.358259,0.363839,0.339286,0.357143,0.301366,1553787200
1995-03-03,0.354911,0.363281,0.337054,0.354911,0.299483,990830400
1995-03-10,0.353795,0.360491,0.308036,0.314732,0.265579,2238734400
1995-03-17,0.316964,0.352679,0.311384,0.331473,0.279705,1360139200
1995-03-24,0.333705,0.338170,0.302455,0.315848,0.266521,1731004800
1995-03-31,0.313616,0.339286,0.300223,0.328125,0.276880,1753427200
1995-04-07,0.330357,0.353795,0.322545,0.341518,0.288182,1277113600
1995-04-14,0.340402,0.351563,0.318080,0.335938,0.283473,1048880000
1995-04-21,0.332589,0.353795,0.331473,0.338170,0.285356,1582806400
1995-04-28,0.339286,0.356027,0.334821,0.343750,0.290065,965708800
1995-05-05,0.345982,0.373884,0.340402,0.366071,0.308900,1716601600
1995-05-12,0.364955,0.396205,0.361607,0.387277,0.326794,2008540800
1995-05-19,0.382813,0.396205,0.377232,0.387277,0.326794,1418670400
1995-05-26,0.383929,0.385045,0.366071,0.376674,0.317847,657193600
1995-06-02,0.373884,0.396205,0.370536,0.383371,0.324395,936275200
1995-06-09,0.389509,0.398438,0.385045,0.389509,0.329589,735492800
1995-06-16,0.391741,0.447545,0.388393,0.438616,0.371142,2397203200
1995-06-23,0.435268,0.437500,0.405134,0.421875,0.356976,1100758400
1995-06-30,0.421875,0.427455,0.408482,0.419643,0.355087,566036800
1995-07-07,0.418527,0.445313,0.411830,0.425223,0.359809,1535878400
1995-07-14,0.422991,0.444196,0.401786,0.420201,0.355559,1611030400
1995-07-21,0.383929,0.424107,0.383929,0.417969,0.353671,1732662400
1995-07-28,0.417411,0.421875,0.388393,0.401786,0.339977,1119440000
1995-08-04,0.401786,0.402902,0.378348,0.381696,0.322978,1153712000
1995-08-11,0.382813,0.406250,0.373884,0.398438,0.337144,1231731200
1995-08-18,0.400670,0.412946,0.390625,0.408482,0.346587,1271715200
1995-08-25,0.409598,0.409598,0.379464,0.383929,0.325754,935782400
1995-09-01,0.383929,0.404576,0.381696,0.399554,0.339012,741440000
1995-09-08,0.399554,0.406250,0.354911,0.357143,0.303027,1546832000
1995-09-15,0.333705,0.356027,0.316964,0.330357,0.280300,2992617600
1995-09-22,0.329241,0.341657,0.310268,0.337054,0.285982,1747177600
1995-09-29,0.339286,0.343750,0.320313,0.325893,0.276512,1476081600
1995-10-06,0.328125,0.330357,0.300223,0.315290,0.267516,1576803200
1995-10-13,0.319196,0.353237,0.310268,0.310268,0.263255,2053172800
1995-10-20,0.314732,0.316964,0.308036,0.311384,0.264202,1056798400
1995-10-27,0.311384,0.331473,0.304688,0.327009,0.277459,965059200
1995-11-03,0.328125,0.366071,0.320313,0.351563,0.298292,1846532800
1995-11-10,0.351563,0.379464,0.347098,0.356585,0.302554,1422131200
1995-11-17,0.357143,0.360491,0.338170,0.344866,0.292610,567403200
1995-11-24,0.347098,0.362723,0.339286,0.340402,0.289722,682236800
1995-12-01,0.339286,0.358259,0.331473,0.344308,0.293047,1391521600
1995-12-08,0.345982,0.353795,0.328125,0.341518,0.290672,1448966400
