Date,Date_Num,GDP_Change_PC,GDP,DXY,UNRATE,PAYEMS,CPIAUCSL,FEDFUNDS
1/25/1993,1,0.73%,6729.5,92.36,7.30,109794,3.25,3.02
2/1/1993,8,0.73%,6729.5,93.56,7.10,110044,3.25,3.03
2/8/1993,15,0.73%,6729.5,93.56,7.10,110044,3.25,3.03
2/15/1993,22,0.73%,6729.5,93.56,7.10,110044,3.25,3.03
2/22/1993,29,0.73%,6729.5,93.56,7.10,110044,3.25,3.03
3/1/1993,36,0.73%,6729.5,94.18,7.00,109992,3.02,3.07
3/8/1993,43,0.73%,6729.5,94.18,7.00,109992,3.02,3.07
3/15/1993,50,0.73%,6729.5,94.18,7.00,109992,3.02,3.07
3/22/1993,57,0.73%,6729.5,94.18,7.00,109992,3.02,3.07
3/29/1993,64,0.73%,6729.5,94.18,7.00,109992,3.02,3.07
4/5/1993,71,1.18%,6808.9,91.10,7.10,110295,3.16,2.96
4/12/1993,78,1.18%,6808.9,91.10,7.10,110295,3.16,2.96
4/19/1993,85,1.18%,6808.9,91.10,7.10,110295,3.16,2.96
4/26/1993,92,1.18%,6808.9,91.10,7.10,110295,3.16,2.96
5/3/1993,99,1.18%,6808.9,89.32,7.10,110570,3.22,3.00
5/10/1993,106,1.18%,6808.9,89.32,7.10,110570,3.22,3.00
5/17/1993,113,1.18%,6808.9,89.32,7.10,110570,3.22,3.00
5/24/1993,120,1.18%,6808.9,89.32,7.10,110570,3.22,3.00
5/31/1993,127,1.18%,6808.9,89.32,7.10,110570,3.22,3.00
6/7/1993,134,1.18%,6808.9,89.02,7.00,110751,3.00,3.04
6/14/1993,141,1.18%,6808.9,89.02,7.00,110751,3.00,3.04
6/21/1993,148,1.18%,6808.9,89.02,7.00,110751,3.00,3.04
6/28/1993,155,1.18%,6808.9,89.02,7.00,110751,3.00,3.04
7/5/1993,162,1.08%,6882.1,93.19,6.90,111060,2.85,3.06
7/12/1993,169,1.08%,6882.1,93.19,6.90,111060,2.85,3.06
7/19/1993,176,1.08%,6882.1,93.19,6.90,111060,2.85,3.06
7/26/1993,183,1.08%,6882.1,93.19,6.90,111060,2.85,3.06
8/2/1993,190,1.08%,6882.1,94.63,6.80,111209,2.84,3.03
8/9/1993,197,1.08%,6882.1,94.63,6.80,111209,2.84,3.03
8/16/1993,204,1.08%,6882.1,94.63,6.80,111209,2.84,3.03
8/23/1993,211,1.08%,6882.1,94.63,6.80,111209,2.84,3.03
8/30/1993,218,1.08%,6882.1,94.63,6.80,111209,2.84,3.03
9/6/1993,225,1.08%,6882.1,93.51,6.70,111455,2.76,3.09
