Date,Open,High,Low,Close,Adj Close,Volume
2004-08-16,2.502503,2.729730,2.401401,2.710460,2.710460,1349868780
2004-08-23,2.771522,2.839840,2.591842,2.656406,2.656406,1119974904
2004-08-30,2.634635,2.639890,2.475976,2.502753,2.502753,790480728
2004-09-06,2.527778,2.666667,2.492743,2.635886,2.635886,471875652
2004-09-13,2.668418,2.940190,2.664164,2.940190,2.940190,962500536
2004-09-20,2.926677,3.105606,2.922172,2.998749,2.998749,861957180
2004-09-27,2.991992,3.378879,2.947948,3.317818,3.317818,1667890440
2004-10-04,3.384635,3.500501,3.309309,3.446697,3.446697,1331239428
2004-10-11,3.428428,3.641141,3.338338,3.606356,3.606356,1310815872
2004-10-18,3.583584,4.508759,3.493493,4.315065,4.315065,3154574268
2004-10-25,4.414414,5.003754,4.318068,4.770771,4.770771,4173306516
2004-11-01,4.843594,5.045045,4.217968,4.237988,4.237988,2865235896
2004-11-08,4.277528,4.749750,4.135886,4.554555,4.554555,2582678736
2004-11-15,4.515766,4.712713,4.147397,4.239239,4.239239,3050973972
2004-11-22,4.115866,4.505255,4.036787,4.489239,4.489239,1859842296
2004-11-29,4.513514,4.579580,4.442192,4.514515,4.514515,1532897568
2004-12-06,4.482733,4.522022,4.215966,4.295546,4.295546,1304210484
2004-12-13,4.308559,4.521772,4.240490,4.506507,4.506507,1731746520
2004-12-20,4.554555,4.719720,4.551301,4.702202,4.702202,913981104
2004-12-27,4.733483,5.002002,4.732232,4.824575,4.824575,1058971968
2005-01-03,4.939940,5.096096,4.697698,4.851101,4.851101,2313152532
2005-01-10,4.867367,5.005255,4.767267,5.004254,5.004254,1565065368
2005-01-17,5.029279,5.137638,4.707708,4.711712,4.711712,1705904388
2005-01-24,4.721972,4.872372,4.411662,4.763263,4.763263,2230782984
2005-01-31,4.847097,5.425425,4.770521,5.114114,5.114114,3558134304
2005-02-07,5.136637,5.165165,4.635886,4.689690,4.689690,2945475576
2005-02-14,4.575826,5.001001,4.529530,4.953704,4.953704,3987112896
2005-02-21,4.917417,4.977477,4.560310,4.651401,4.651401,2591705700
2005-02-28,4.654655,4.751502,4.554555,4.652152,4.652152,1550360088
2005-03-07,4.699199,4.751001,4.433183,4.449449,4.449449,1880625492
2005-03-14,4.462713,4.514515,4.318569,4.505506,4.505506,1759262976
2005-03-21,4.486236,4.558809,4.435686,4.485736,4.485736,865757376
2005-03-28,4.546547,4.624625,4.445445,4.505506,4.505506,1374532092
2005-04-04,4.503253,4.882382,4.500501,4.806056,4.806056,1473505020
2005-04-11,4.832082,4.874875,4.621121,4.629630,4.629630,1479159360
2005-04-18,4.619119,5.605606,4.591842,5.400651,5.400651,3252296448
2005-04-25,5.450951,5.624124,5.423924,5.505506,5.505506,2606582808
2005-05-02,5.556807,5.752753,5.510761,5.706206,5.706206,2154027816
2005-05-09,5.705706,5.811562,5.623624,5.736737,5.736737,1587414996
2005-05-16,5.747748,6.047798,5.719970,6.046296,6.046296,1745544708
2005-05-23,6.085085,6.657908,6.073824,6.656657,6.656657,3765031200
2005-05-30,6.742492,7.329580,6.740991,7.013514,7.013514,3763628604
2005-06-06,7.066817,7.497247,6.956957,7.069570,7.069570,4063432500
2005-06-13,7.002503,7.111862,6.692442,7.014515,7.014515,2664333000
2005-06-20,6.909159,7.457457,6.800050,7.438689,7.438689,3135205656
2005-06-27,7.479980,7.738989,7.237738,7.288539,7.288539,3175225596
2005-07-04,7.309810,7.447447,7.219970,7.413163,7.413163,1343615040
2005-07-11,7.417417,7.676426,7.280531,7.537287,7.537287,1790176032
2005-07-18,7.507508,7.952953,7.415666,7.567568,7.567568,3049579368
2005-07-25,7.567317,7.589840,7.181932,7.201201,7.201201,1637660700
2005-08-01,7.210210,7.500501,7.209710,7.316066,7.316066,1201173624
2005-08-08,7.347347,7.398649,7.022523,7.250250,7.250250,1248386364
2005-08-15,7.252252,7.326577,6.881882,7.007007,7.007007,1461852684
2005-08-22,7.038038,7.132633,6.840591,7.096597,7.096597,1173213612
2005-08-29,7.063063,7.257007,7.063063,7.218468,7.218468,875347776
2005-09-05,7.232232,7.489489,7.139139,7.484735,7.484735,907715376
2005-09-12,7.551301,7.896146,7.455205,7.512513,7.512513,2198127672
2005-09-19,7.532533,7.988488,7.525275,7.891892,7.891892,1867043088
2005-09-26,7.995495,8.031782,7.647648,7.919419,7.919419,1579618800
2005-10-03,7.848599,8.040040,7.707708,7.832583,7.832583,1654228116
2005-10-10,7.840591,7.878378,7.274274,7.410911,7.410911,1698611688
2005-10-17,7.444945,8.669419,7.371371,8.506006,8.506006,2336033628
2005-10-24,8.592843,8.982733,8.563313,8.963213,8.963213,1448765784
2005-10-31,9.015015,9.804555,8.996747,9.770521,9.770521,2299206492
2005-11-07,9.887387,9.946697,9.445195,9.769770,9.769770,1764174060
2005-11-14,9.812813,10.122623,9.783534,10.015265,10.015265,1652977368
2005-11-21,9.989239,10.729479,9.847097,10.726226,10.726226,1392853752
2005-11-28,10.756256,10.791792,9.898899,10.452953,10.452953,2612952432
2005-12-05,10.435435,10.447948,9.985235,10.240240,10.240240,2143214640
2005-12-12,10.376126,10.823323,10.259009,10.764515,10.764515,1763059176
2005-12-19,10.815816,11.166416,10.513263,10.784034,10.784034,2213188596
2005-12-26,10.807307,10.807307,10.353854,10.381882,10.381882,1133009856
2006-01-02,10.573574,11.774274,10.465966,11.653153,11.653153,2276633088
2006-01-09,11.671922,11.889640,11.535035,11.667918,11.667918,1945184868
2006-01-16,11.588088,11.759259,9.878378,9.996496,9.996496,3373023600
2006-01-23,10.194695,11.367117,10.153403,10.848098,10.848098,3129831036
2006-01-30,10.741491,11.001001,9.323574,9.548298,9.548298,3511161324
2006-02-06,9.642392,9.757257,8.837337,9.074324,9.074324,2937483576
2006-02-13,8.674675,9.312813,8.454204,9.227978,9.227978,3314861820
2006-02-20,9.170170,9.540541,9.105606,9.444444,9.444444,1366556076
2006-02-27,9.541291,9.948448,8.471221,9.463964,9.463964,3676451868
2006-03-06,9.532282,9.594595,8.297047,8.445946,8.445946,2569431996
2006-03-13,8.531782,8.818068,8.323824,8.503253,8.503253,2534674788
2006-03-20,8.567067,9.261512,8.445946,9.154154,9.154154,2015982000
2006-03-27,9.186436,9.984985,9.134134,9.759760,9.759760,3445754796
2006-04-03,9.747998,10.374625,9.707958,10.164164,10.164164,2112817068
2006-04-10,10.187187,10.487988,10.022523,10.064064,10.064064,1318568112
2006-04-17,10.096346,11.279279,10.031031,10.938438,10.938438,2317743936
2006-04-24,10.995996,11.128629,10.417918,10.458959,10.458959,1656038304
2006-05-01,10.472222,10.496496,9.719720,9.867367,9.867367,1688497812
2006-05-08,9.887638,10.303053,9.348098,9.362613,9.362613,1575494928
2006-05-15,9.407658,9.554805,9.023273,9.259760,9.259760,1716609672
2006-05-22,9.205455,9.656657,9.140390,9.543293,9.543293,1558551888
2006-05-29,9.466466,9.686687,9.178679,9.495495,9.495495,997469532
2006-06-05,9.413914,9.895646,9.363113,9.673924,9.673924,1648214136
2006-06-12,9.718218,9.816066,9.462462,9.777277,9.777277,1300318380
2006-06-19,9.781031,10.254004,9.672422,10.131632,10.131632,1264498236
2006-06-26,10.178929,10.493744,10.035285,10.493744,10.493744,970428600
2006-07-03,10.511512,10.707958,10.401401,10.521772,10.521772,674177148
2006-07-10,10.596597,10.641391,9.975225,10.097598,10.097598,1190448360
2006-07-17,10.125876,10.285285,9.451702,9.762513,9.762513,1884533580
2006-07-24,9.830330,9.857107,9.458208,9.712713,9.712713,1162987848
2006-07-31,9.709710,9.738989,9.093093,9.355606,9.355606,1141996860
2006-08-07,9.296797,9.626627,9.209209,9.221722,9.221722,880298820
2006-08-14,9.296797,9.759760,9.225976,9.593594,9.593594,1100981916
2006-08-21,9.461962,9.490991,9.315816,9.340841,9.340841,710444844
2006-08-28,9.399650,9.625876,9.384384,9.474474,9.474474,731315952
2006-09-04,9.506256,9.644645,9.427427,9.455706,9.455706,588363048
2006-09-11,9.465966,10.261512,9.453704,10.257257,10.257257,1316438244
2006-09-18,10.260260,10.477728,9.828328,10.104605,10.104605,1833728436
2006-09-25,10.149650,10.290791,10.023524,10.057558,10.057558,1011855132
2006-10-02,10.057558,10.558308,9.964715,10.523023,10.523023,1155031812
2006-10-09,10.630631,10.957207,10.570320,10.693193,10.693193,1257693048
2006-10-16,10.703203,11.514014,10.427928,11.503253,11.503253,1546416036
2006-10-23,11.568569,12.311311,11.520771,11.891892,11.891892,1861652484
2006-10-30,11.882382,12.066066,11.638138,11.806807,11.806807,1135631232
2006-11-06,11.856106,12.055556,11.726727,11.850601,11.850601,1020158820
2006-11-13,11.884384,12.508759,11.865365,12.482232,12.482232,1220362416
2006-11-20,12.472472,12.837838,12.328579,12.637638,12.637638,790624584
2006-11-27,12.546797,12.557057,11.937688,12.032032,12.032032,1304554140
2006-12-04,12.087087,12.322322,11.995746,12.114865,12.114865,882812304
2006-12-11,12.135135,12.234735,11.937437,12.019520,12.019520,880966152
2006-12-18,12.074825,12.080581,11.319820,11.400901,11.400901,1195323480
2006-12-25,11.424424,11.726226,11.376126,11.523524,11.523524,478768752
2007-01-01,11.661662,12.199700,11.539289,12.191942,12.191942,897749352
2007-01-08,12.204454,12.637638,12.042042,12.637638,12.637638,1110336552
2007-01-15,12.701451,12.837838,12.180681,12.256006,12.256006,1006124868
2007-01-22,12.324825,12.625125,11.944194,12.408408,12.408408,1118644236
2007-01-29,12.462462,12.662913,11.957207,12.049550,12.049550,1722575700
2007-02-05,11.949449,11.961962,11.549049,11.558809,11.558809,1022332644
2007-02-12,11.528529,11.765516,11.386887,11.760260,11.760260,1028382588
2007-02-19,11.723473,12.118118,11.629379,11.777277,11.777277,772614612
2007-02-26,11.832583,11.893143,10.977978,10.977978,10.977978,1461888648
2007-03-05,10.936436,11.649149,10.935936,11.335335,11.335335,1229305464
2007-03-12,11.325576,11.392643,10.985986,11.032282,11.032282,1097417484
2007-03-19,11.092342,11.596346,11.026777,11.557307,11.557307,967411620
2007-03-26,11.525275,11.661662,11.386386,11.465465,11.465465,815655528
2007-04-02,11.455455,11.868118,11.314314,11.799550,11.799550,657138204
2007-04-09,11.836336,11.836837,11.567568,11.668919,11.668919,613629756
2007-04-16,11.723223,12.324825,11.715465,12.074074,12.074074,1483698816
2007-04-23,12.014515,12.137137,11.900651,11.987237,11.987237,814652532
2007-04-30,11.990741,12.045796,11.615866,11.789790,11.789790,715535748
2007-05-07,11.815315,11.832332,11.536537,11.680180,11.680180,657162180
2007-05-14,11.648649,11.892392,11.446697,11.769770,11.769770,915179904
2007-05-21,11.750000,12.135886,11.679680,12.100100,12.100100,982240776
2007-05-28,12.137137,12.732232,12.087087,12.522523,12.522523,1046436516
2007-06-04,12.460210,13.175676,12.452202,12.900150,12.900150,1695243060
2007-06-11,12.863363,12.969219,12.479730,12.659910,12.659910,1154704140
2007-06-18,12.667167,13.137888,12.618619,13.137638,13.137638,1004706288
2007-06-25,13.237738,13.388138,12.999499,13.080581,13.080581,1110352536
2007-07-02,13.150400,13.623624,13.118118,13.498498,13.498498,521450028
2007-07-09,13.588589,13.830581,13.513764,13.817818,13.817818,782169048
2007-07-16,13.771271,13.978478,12.750250,13.016016,13.016016,1834467696
2007-07-23,12.988238,13.013013,12.484484,12.810060,12.810060,1193457348
2007-07-30,12.835836,13.024024,12.587588,12.587588,12.587588,758964276
2007-08-06,12.587588,13.183684,12.575075,12.906657,12.906657,907343748
2007-08-13,13.001502,13.006757,12.023524,12.513514,12.513514,1052846100
2007-08-20,12.574074,12.919169,12.412412,12.887888,12.887888,603795600
2007-08-27,12.873624,12.949199,12.657407,12.894144,12.894144,550552896
2007-09-03,12.888388,13.259009,12.878378,12.996747,12.996747,571272156
2007-09-10,13.045045,13.270020,12.784785,13.231982,13.231982,542313144
