DATE,MEPAINUSA672N
1974-01-01,26509
1975-01-01,26006
1976-01-01,26059
1977-01-01,26256
1978-01-01,26038
1979-01-01,25322
1980-01-01,24938
1981-01-01,24474
1982-01-01,24733
1983-01-01,25216
1984-01-01,25945
1985-01-01,26507
1986-01-01,27324
1987-01-01,27690
1988-01-01,28562
1989-01-01,29314
1990-01-01,28999
1991-01-01,28574
1992-01-01,28287
1993-01-01,28563
1994-01-01,28915
1995-01-01,29708
1996-01-01,30338
1997-01-01,31670
1998-01-01,33241
1999-01-01,33577
2000-01-01,33946
2001-01-01,33647
2002-01-01,33403
2003-01-01,33479
2004-01-01,33378
2005-01-01,33829
2006-01-01,34747
2007-01-01,34876
2008-01-01,33445
2009-01-01,33082
2010-01-01,32596
2011-01-01,32099
2012-01-01,31907
2013-01-01,32243
2014-01-01,32943
2015-01-01,34582
2016-01-01,35112
2017-01-01,35326
2018-01-01,36367
2019-01-01,38127
2020-01-01,37529
2021-01-01,37522
