Date,Open,High,Low,Close,Adj Close,Volume
1993-01-01,2.656250,2.808594,2.640625,2.726563,1.701098,290364800
1993-01-08,2.726563,2.937500,2.695313,2.851563,1.779085,392416000
1993-01-15,2.734375,2.843750,2.710938,2.796875,1.744966,406860800
1993-01-22,2.804688,2.820313,2.648438,2.718750,1.696224,282265600
1993-01-29,2.734375,2.820313,2.640625,2.656250,1.657229,348592000
1993-02-05,2.648438,2.796875,2.570313,2.664063,1.662104,405260800
1993-02-12,2.664063,2.664063,2.414063,2.550781,1.591428,386400000
1993-02-19,2.558594,2.656250,2.398438,2.636719,1.645045,417680000
1993-02-26,2.632813,2.671875,2.539063,2.617188,1.632859,193657600
1993-03-05,2.609375,2.742188,2.562500,2.703125,1.686475,209430400
1993-03-12,2.687500,2.789063,2.656250,2.664063,1.662104,219315200
1993-03-19,2.679688,2.757813,2.578125,2.730469,1.703534,208307200
1993-03-26,2.750000,2.960938,2.687500,2.906250,1.813204,497494400
1993-04-02,2.867188,2.906250,2.750000,2.781250,1.735217,269740800
1993-04-09,2.773438,2.882813,2.687500,2.722656,1.698661,250057600
1993-04-16,2.726563,2.742188,2.589844,2.601563,1.623110,313683200
1993-04-23,2.593750,2.687500,2.492188,2.671875,1.666978,317913600
1993-04-30,2.656250,2.812500,2.656250,2.726563,1.701098,233699200
1993-05-07,2.726563,2.812500,2.640625,2.679688,1.671852,231091200
1993-05-14,2.687500,2.976563,2.648438,2.941406,1.835138,492339200
1993-05-21,2.921875,2.984375,2.812500,2.941406,1.835138,359008000
1993-05-28,2.921875,3.062500,2.867188,2.957031,1.844887,302870400
1993-06-04,2.937500,2.992188,2.796875,2.847656,1.776647,252569600
1993-06-11,2.867188,2.914063,2.781250,2.839844,1.771773,245427200
1993-06-18,2.828125,2.851563,2.718750,2.765625,1.725469,253987200
1993-06-25,2.765625,2.867188,2.703125,2.722656,1.698661,254400000
1993-07-02,2.726563,2.742188,2.539063,2.652344,1.654793,325801600
1993-07-09,2.656250,2.671875,2.578125,2.609375,1.627984,190940800
1993-07-16,2.601563,2.601563,2.398438,2.425781,1.513440,610022400
1993-07-23,2.406250,2.523438,2.335938,2.468750,1.540250,480806400
1993-07-30,2.281250,2.367188,2.242188,2.335938,1.457387,683606400
1993-08-06,2.335938,2.371094,2.199219,2.312500,1.442765,508006400
1993-08-13,2.312500,2.476563,2.281250,2.320313,1.447639,375379200
1993-08-20,2.296875,2.445313,2.234375,2.253906,1.406208,377628800
1993-08-27,2.257813,2.453125,2.226563,2.394531,1.493944,356329600
1993-09-03,2.390625,2.398438,2.289063,2.382813,1.486633,150092800
1993-09-10,2.406250,2.453125,2.320313,2.375000,1.481758,233849600
1993-09-17,2.359375,2.476563,2.335938,2.460938,1.535375,262089600
1993-09-24,2.453125,2.632813,2.453125,2.578125,1.608488,374896000
1993-10-01,2.578125,2.679688,2.562500,2.628906,1.640170,292403200
1993-10-08,2.632813,2.664063,2.539063,2.566406,1.601176,279507200
1993-10-15,2.570313,2.625000,2.437500,2.484375,1.549997,494300800
1993-10-22,2.476563,2.539063,2.460938,2.468750,1.540250,264697600
1993-10-29,2.484375,2.546875,2.390625,2.390625,1.491507,232403200
1993-11-05,2.382813,2.578125,2.375000,2.550781,1.591428,209907200
1993-11-12,2.554688,2.593750,2.500000,2.507813,1.564620,231904000
1993-11-19,2.492188,2.507813,2.390625,2.460938,1.535375,249481600
1993-11-26,2.468750,2.593750,2.445313,2.589844,1.615799,193484800
1993-12-03,2.617188,2.703125,2.515625,2.535156,1.581679,373987200
1993-12-10,2.539063,2.570313,2.476563,2.500000,1.559746,151776000
1993-12-17,2.515625,2.578125,2.492188,2.527344,1.576805,148572800
1993-12-24,2.523438,2.609375,2.492188,2.539063,1.584117,126630400
1993-12-31,2.531250,2.648438,2.476563,2.644531,1.649917,240924800
1994-01-07,2.632813,2.703125,2.601563,2.667969,1.664541,260620800
1994-01-14,2.671875,2.699219,2.578125,2.695313,1.681601,341225600
1994-01-21,2.695313,2.718750,2.601563,2.632813,1.642607,309433600
1994-01-28,2.640625,2.683594,2.609375,2.640625,1.647481,221161600
1994-02-04,2.625000,2.640625,2.437500,2.480469,1.547560,512150400
1994-02-11,2.476563,2.507813,2.437500,2.457031,1.532938,266643200
1994-02-18,2.453125,2.562500,2.445313,2.496094,1.557308,364716800
1994-02-25,2.507813,2.601563,2.492188,2.531250,1.579243,256624000
1994-03-04,2.531250,2.570313,2.492188,2.527344,1.576805,164582400
1994-03-11,2.531250,2.664063,2.523438,2.640625,1.647481,239273600
1994-03-18,2.640625,2.734375,2.570313,2.726563,1.701098,367568000
1994-03-25,2.718750,2.789063,2.578125,2.648438,1.652355,457952000
1994-04-01,2.578125,2.816406,2.562500,2.804688,1.749840,333286400
1994-04-08,2.804688,2.812500,2.593750,2.628906,1.640170,366812800
1994-04-15,2.609375,2.867188,2.570313,2.859375,1.783958,651235200
1994-04-22,2.875000,2.976563,2.835938,2.878906,1.796144,463382400
1994-04-29,2.875000,3.007813,2.851563,2.949219,1.840013,303257600
1994-05-06,2.914063,2.978027,2.839844,2.953125,1.842450,325740800
1994-05-13,3.046875,3.093750,2.921875,3.074219,1.918000,545622400
1994-05-20,3.062500,3.296875,3.031250,3.250000,2.027668,388531200
1994-05-27,3.234375,3.360352,3.203125,3.265625,2.037418,284600000
1994-06-03,3.281250,3.414063,3.226563,3.265625,2.037418,1300708800
1994-06-10,3.265625,3.414063,3.242188,3.347656,2.088596,276944000
1994-06-17,3.343750,3.351563,3.125000,3.132813,1.954556,349190400
1994-06-24,3.125000,3.296875,3.078125,3.226563,2.013047,351296000
1994-07-01,3.226563,3.234375,2.984375,3.148438,1.964305,285974400
1994-07-08,3.117188,3.179688,2.929688,3.046875,1.900940,382507200
1994-07-15,3.046875,3.234375,2.968750,2.984375,1.861947,464491200
1994-07-22,3.031250,3.226563,2.953125,3.093750,1.930185,327929600
1994-07-29,3.117188,3.414063,3.101563,3.296875,2.056914,345211200
1994-08-05,3.289063,3.500000,3.250000,3.453125,2.154399,236016000
1994-08-12,3.460938,3.523438,3.375000,3.468750,2.164147,272048000
1994-08-19,3.492188,3.546875,3.406250,3.511719,2.190956,286380800
1994-08-26,3.523438,3.703125,3.484375,3.507813,2.188518,333974400
1994-09-02,3.531250,3.625000,3.480469,3.621094,2.259193,147736000
1994-09-09,3.507813,3.640625,3.492188,3.640625,2.271380,208780800
1994-09-16,3.625000,3.632813,3.437500,3.562500,2.222637,268817600
1994-09-23,3.554688,3.593750,3.429688,3.531250,2.203140,189339200
1994-09-30,3.531250,3.593750,3.382813,3.406250,2.125153,197840000
1994-10-07,3.414063,3.609375,3.367188,3.578125,2.232387,237636800
1994-10-14,3.578125,3.742188,3.437500,3.726563,2.324996,379771200
1994-10-21,3.703125,3.851563,3.648438,3.851563,2.402984,308168000
1994-10-28,3.851563,4.007813,3.835938,3.914063,2.441977,282820800
1994-11-04,3.914063,4.039063,3.804688,3.980469,2.483407,222265600
1994-11-11,3.890625,4.070313,3.796875,4.015625,2.505342,297806400
1994-11-18,4.007813,4.046875,3.816406,3.843750,2.398109,205120000
1994-11-25,3.859375,4.023438,3.851563,3.910156,2.439540,177716800
1994-12-02,3.921875,4.015625,3.875000,3.906250,2.437102,193390400
1994-12-09,3.906250,4.007813,3.851563,3.968750,2.476095,237985600
1994-12-16,3.976563,4.015625,3.671875,3.789063,2.363990,465734400
1994-12-23,3.789063,3.867188,3.750000,3.863281,2.410294,98460800
1994-12-30,3.867188,3.867188,3.710938,3.726563,2.324996,151667200
1995-01-06,3.742188,3.882813,3.734375,3.828125,2.388360,193374400
1995-01-13,3.875000,4.078125,3.867188,3.968750,2.476095,307500800
1995-01-20,3.929688,3.968750,3.734375,3.742188,2.334745,306267200
1995-01-27,3.757813,3.796875,3.640625,3.687500,2.300625,286504000
1995-02-03,3.718750,3.906250,3.703125,3.867188,2.412731,233379200
1995-02-10,3.875000,3.921875,3.726563,3.804688,2.373737,322889600
1995-02-17,3.796875,3.882813,3.718750,3.851563,2.402984,214057600
1995-02-24,3.835938,4.000000,3.820313,3.984375,2.485845,193384000
1995-03-03,3.976563,4.296875,3.929688,4.242188,2.646694,367017600
1995-03-10,4.242188,4.500000,4.156250,4.382813,2.734431,262323200
1995-03-17,4.406250,4.578125,4.367188,4.546875,2.836788,330164800
1995-03-24,4.578125,4.632813,4.398438,4.507813,2.812417,315068800
1995-03-31,4.484375,4.507813,4.296875,4.375000,2.729556,296593600
1995-04-07,4.390625,4.578125,4.335938,4.531250,2.827038,203187200
1995-04-14,4.718750,4.882813,4.625000,4.703125,2.934271,406600000
1995-04-21,4.726563,5.031250,4.679688,4.914063,3.065876,364166400
1995-04-28,4.929688,5.234375,4.914063,5.093750,3.177983,363844800
1995-05-05,5.085938,5.101563,4.929688,5.085938,3.173108,201806400
1995-05-12,5.085938,5.429688,4.992188,5.289063,3.299836,282974400
1995-05-19,5.265625,5.593750,5.250000,5.578125,3.480182,304214400
1995-05-26,5.574219,5.578125,5.062500,5.257813,3.280340,333457600
1995-06-02,5.234375,5.375977,5.109375,5.257813,3.280340,254356800
1995-06-09,5.234375,5.367188,5.164063,5.304688,3.309586,251745600
1995-06-16,5.312500,5.773438,5.304688,5.742188,3.582541,331451200
1995-06-23,5.671875,5.761719,5.304688,5.585938,3.485058,318339200
1995-06-30,5.601563,5.812500,5.601563,5.796875,3.616659,165723200
1995-07-07,5.804688,6.343750,5.796875,6.257813,3.904239,436395200
1995-07-14,6.140625,6.828125,5.531250,6.007813,3.748265,1018300800
1995-07-21,5.875000,6.132813,5.734375,6.031250,3.762885,503878400
1995-07-28,6.000000,6.000000,5.468750,5.695313,3.553295,669388800
1995-08-04,5.710938,6.132813,5.703125,5.882813,3.670277,402160000
1995-08-11,5.921875,6.296875,5.757813,6.195313,3.865245,362017600
1995-08-18,6.230469,6.281250,5.898438,6.007813,3.748265,488777600
1995-08-25,6.023438,6.046875,5.437500,5.781250,3.606913,468305600
1995-09-01,5.734375,6.039063,5.585938,5.914063,3.689774,366513600
1995-09-08,5.859375,6.117188,5.828125,5.929688,3.699522,328419200
1995-09-15,5.921875,5.960938,5.656250,5.664063,3.533799,351644800
1995-09-22,5.617188,5.742188,5.210938,5.718750,3.567917,480593600
1995-09-29,5.726563,5.796875,5.312500,5.468750,3.411943,418388800
1995-10-06,5.468750,5.562500,5.023438,5.476563,3.416819,528585600
1995-10-13,5.531250,6.164063,5.343750,6.046875,3.772636,643022400
1995-10-20,6.031250,6.132813,5.906250,6.125000,3.821377,385192000
1995-10-27,6.093750,6.460938,6.085938,6.250000,3.899364,484428800
1995-11-03,6.250000,6.257813,5.804688,6.187500,3.860370,415380800
1995-11-10,6.156250,6.187500,5.601563,5.617188,3.504555,499292800
1995-11-17,5.625000,5.664063,5.265625,5.460938,3.407069,454691200
1995-11-24,5.476563,5.781250,5.406250,5.445313,3.397322,365232000
1995-12-01,5.445313,5.750000,5.320313,5.656250,3.528925,609238400
1995-12-08,5.789063,5.921875,5.539063,5.546875,3.460685,386105600
1995-12-15,5.570313,5.710938,5.335938,5.625000,3.509428,444846400
1995-12-22,5.632813,5.703125,5.453125,5.460938,3.407069,161081600
1995-12-29,5.453125,5.632813,5.304688,5.460938,3.407069,275332800
1996-01-05,5.390625,5.476563,4.992188,5.414063,3.377825,549073600
1996-01-12,5.406250,5.554688,5.117188,5.476563,3.416819,551532800
1996-01-19,5.640625,5.828125,5.562500,5.585938,3.485058,528656000
1996-01-26,5.570313,5.890625,5.562500,5.882813,3.670277,282950400
1996-02-02,5.875000,6.218750,5.757813,6.179688,3.855498,438804800
1996-02-09,6.171875,6.320313,6.093750,6.156250,3.840875,457532800
1996-02-16,6.171875,6.414063,6.054688,6.406250,3.996848,312936000
1996-02-23,6.414063,6.476563,6.160156,6.167969,3.848186,349068800
1996-03-01,6.148438,6.179688,5.914063,6.082031,3.794569,376134400
1996-03-08,5.968750,6.367188,5.921875,6.226563,3.884742,477355200
1996-03-15,6.250000,6.691406,6.226563,6.296875,3.928609,492942400
1996-03-22,6.320313,6.500000,6.171875,6.390625,3.987098,299009600
1996-03-29,6.398438,6.570313,6.382813,6.523438,4.069962,214632000
1996-04-05,6.406250,6.500000,6.226563,6.320313,3.943232,255072000
1996-04-12,6.320313,6.828125,6.281250,6.812500,4.250306,360545600
1996-04-19,6.976563,7.109375,6.843750,7.046875,4.396533,452537600
1996-04-26,7.046875,7.203125,6.945313,6.976563,4.352666,269360000
1996-05-03,7.031250,7.195313,6.851563,7.093750,4.425776,324147200
1996-05-10,7.148438,7.500000,7.132813,7.320313,4.567131,339768000
1996-05-17,7.367188,7.445313,7.164063,7.406250,4.620747,213585600
1996-05-24,7.406250,7.446289,7.289063,7.390625,4.610998,137212800
1996-05-31,7.410156,7.687500,7.265625,7.488281,4.671926,276900800
1996-06-07,7.351563,7.867188,7.351563,7.789063,4.859584,332699200
1996-06-14,7.796875,7.812500,7.437500,7.609375,4.747474,363667200
1996-06-21,7.648438,7.820313,7.437500,7.496094,4.676800,295094400
1996-06-28,7.531250,7.679688,7.445313,7.570313,4.723107,182654400
1996-07-05,7.507813,7.585938,7.109375,7.156250,4.464773,354230400
1996-07-12,7.199219,7.500000,6.718750,7.492188,4.674363,658156800
1996-07-19,7.359375,7.601563,6.843750,7.406250,4.620747,794507200
1996-07-26,7.468750,7.554688,7.257813,7.539063,4.703607,335374400
1996-08-02,7.632813,7.867188,7.539063,7.828125,4.883954,362920000
1996-08-09,7.796875,7.882813,7.710938,7.820313,4.879080,270598400
1996-08-16,7.820313,7.828125,7.609375,7.812500,4.874205,215990400
1996-08-23,7.804688,7.859375,7.671875,7.757813,4.840088,170241600
1996-08-30,7.765625,7.765625,7.539063,7.593750,4.737729,144112000
1996-09-06,7.625000,8.093750,7.601563,8.039063,5.015558,254904000
1996-09-13,8.101563,8.640625,8.054688,8.609375,5.371374,380132800
1996-09-20,8.562500,8.664063,8.234375,8.250000,5.147161,360427200
1996-09-27,8.281250,8.484375,8.179688,8.375000,5.225148,384126400
1996-10-04,8.414063,8.632813,8.328125,8.359375,5.215398,252758400
1996-10-11,8.414063,8.695313,8.390625,8.468750,5.283638,219345600
1996-10-18,8.375000,8.585938,8.203125,8.539063,5.327506,403715200
1996-10-25,8.539063,8.617188,8.429688,8.578125,5.351878,268636800
1996-11-01,8.578125,9.132813,8.531250,8.968750,5.595588,327136000
1996-11-08,8.960938,9.351563,8.843750,9.351563,5.834427,392499200
1996-11-15,9.421875,9.875000,9.210938,9.398438,5.863668,561942400
1996-11-22,9.421875,9.734375,9.335938,9.718750,6.063510,322238400
1996-11-29,9.718750,9.968750,9.492188,9.562500,5.966028,336710400
1996-12-06,9.312500,10.656250,9.266602,10.125000,6.316971,522513600
1996-12-13,10.140625,10.640625,9.546875,10.609375,6.619171,364766400
1996-12-20,10.687500,10.765625,10.359375,10.687500,6.667913,171459200
1996-12-27,10.687500,10.718750,10.093750,10.203125,6.365712,135206400
1997-01-03,10.281250,10.656250,10.250000,10.296875,6.424201,235316800
1997-01-10,10.250000,10.890625,10.203125,10.750000,6.706907,292392800
1997-01-17,10.703125,12.468750,10.687500,11.843750,7.389297,560466400
1997-01-24,11.890625,12.656250,11.796875,12.640625,7.886463,336608800
1997-01-31,12.734375,12.937500,12.000000,12.140625,7.574517,416006400
1997-02-07,12.296875,12.687500,11.890625,12.500000,7.798728,348380800
1997-02-14,12.421875,12.562500,11.890625,11.906250,7.428288,241719200
1997-02-21,11.859375,12.626953,11.750000,12.015625,7.496530,299150400
1997-02-28,12.015625,12.625000,11.929688,12.218750,7.623256,299619200
1997-03-07,12.296875,12.570313,11.992188,12.453125,7.769483,228347200
1997-03-14,12.468750,12.601563,11.867188,12.000000,7.486777,397268000
1997-03-21,12.062500,12.140625,10.953125,11.718750,7.311308,536990400
1997-03-28,11.640625,11.921875,11.218750,11.890625,7.418539,336090400
1997-04-04,11.718750,12.406250,11.718750,12.093750,7.545271,366490400
1997-04-11,11.937500,12.500000,11.671875,12.265625,7.652501,318012000
1997-04-18,13.000000,14.734375,12.875000,14.265625,8.900295,690736800
1997-04-25,14.187500,15.406250,13.953125,15.125000,9.436463,362273600
1997-05-02,15.250000,15.437500,14.390625,14.546875,9.075765,406392800
1997-05-09,14.750000,14.906250,14.453125,14.640625,9.134260,253788000
1997-05-16,14.546875,15.367188,14.359375,15.078125,9.407213,280697600
1997-05-23,15.171875,16.132813,15.109375,15.734375,9.816650,201293600
1997-05-30,14.687500,15.703125,14.687500,15.070313,9.402342,254803200
1997-06-06,15.171875,16.015625,15.125000,15.875000,9.904382,230970400
1997-06-13,15.843750,16.867188,15.820313,16.164063,10.084733,265096800
1997-06-20,16.171875,16.656250,15.984375,16.031250,10.001869,226172000
1997-06-27,16.140625,16.257813,15.406250,16.195313,10.104229,217864000
1997-07-04,16.328125,16.578125,16.109375,16.234375,10.128597,167374400
1997-07-11,16.281250,18.843750,16.054688,18.687500,11.659098,413907200
1997-07-18,18.125000,18.421875,16.718750,17.250000,10.762249,624945600
1997-07-25,17.312500,17.781250,16.968750,17.671875,11.025449,346339200
1997-08-01,17.671875,18.078125,17.398438,17.992188,11.225291,251916800
1997-08-08,17.851563,17.890625,16.765625,17.031250,10.625769,313030400
1997-08-15,16.937500,17.796875,16.375000,17.234375,10.752494,327907200
1997-08-22,16.906250,17.375000,16.500000,16.507813,10.299194,238358400
1997-08-29,16.507813,17.359375,16.468750,17.273438,10.776869,175319200
1997-09-05,17.382813,17.531250,16.609375,17.101563,10.669633,245353600
1997-09-12,17.109375,17.296875,16.328125,16.531250,10.313816,402804800
1997-09-19,16.531250,17.007813,16.500000,16.593750,10.352813,259944800
1997-09-26,16.703125,16.968750,16.421875,16.648438,10.386931,198348000
1997-10-03,16.867188,17.453125,16.671875,17.367188,10.835357,262480000
1997-10-10,17.289063,17.343750,16.531250,16.738281,10.442984,169636800
1997-10-17,16.640625,17.404297,15.937500,16.953125,10.577023,479644000
1997-10-24,17.109375,17.156250,15.437500,16.078125,10.031116,484513600
1997-10-31,16.375000,16.867188,16.203125,16.507813,10.299194,246436800
1997-11-07,16.257813,16.562500,16.125000,16.445313,10.260199,243285600
1997-11-14,16.453125,17.140625,16.421875,17.109375,10.674509,228842400
1997-11-21,17.226563,17.734375,16.937500,17.695313,11.040075,226821600
1997-11-28,17.656250,18.234375,17.625000,17.820313,11.118063,236908800
1997-12-05,17.765625,18.328125,17.359375,17.382813,10.845105,286495200
1997-12-12,17.218750,17.546875,16.296875,16.359375,10.206586,354261600
1997-12-19,16.093750,16.273438,14.750000,14.867188,9.275613,352735200
1997-12-26,14.859375,16.437500,14.843750,16.156250,10.079854,224216000
1998-01-02,16.203125,16.703125,15.937500,16.312500,10.177341,327072000
1998-01-09,16.257813,16.625000,15.546875,16.539063,10.318694,338270400
1998-01-16,16.546875,17.484375,16.539063,17.328125,10.810986,382605600
1998-01-23,17.343750,18.765625,17.087891,18.531250,11.561619,388088800
1998-01-30,18.578125,19.843750,18.453125,19.429688,12.122152,338798400
1998-02-06,19.421875,20.007813,19.390625,19.843750,12.380479,305969600
1998-02-13,19.828125,19.843750,19.218750,19.359375,12.078278,278259200
1998-02-20,19.437500,21.421875,19.109375,21.375000,13.335827,481530000
1998-02-27,21.390625,21.500000,19.812500,20.015625,12.487709,312148800
