Date_Text,Open,High,Low,Adj_Close,Volume,Month,Day,Year,Quarter,Close,GDP,DXY, All_Emp_Total_Nonfarm,Fredgraph,FEDFUNDS
1/25/1993,$43.97 ,$43.97 ,$43.75 ,25.22,1003200.00,1,25,1993,1993Q1,43.94,6729.5,90.47,110044,3.25,3.03
2/1/1993,$43.97 ,$45.09 ,$43.97 ,25.81,2234800.00,2,1,1993,1993Q1,44.97,6729.5,93.56,110044,3.25,3.03
2/8/1993,$44.97 ,$45.13 ,$44.53 ,25.59,1159800.00,2,8,1993,1993Q1,44.59,6729.5,94.35,110044,3.25,3.03
2/15/1993,$44.47 ,$44.47 ,$42.81 ,25,998700.00,2,15,1993,1993Q1,43.56,6729.5,94.38,110044,3.25,3.03
2/22/1993,$43.69 ,$44.44 ,$43.47 ,25.49,1024300.00,2,22,1993,1993Q1,44.41,6729.5,92.65,110044,3.25,3.03
3/1/1993,$44.56 ,$45.19 ,$44.22 ,25.68,658500.00,3,1,1993,1993Q1,44.75,6729.5,94.18,109992,3.02,3.07
3/8/1993,$44.84 ,$45.84 ,$44.81 ,25.88,1129000.00,3,8,1993,1993Q1,45.09,6729.5,94.02,109992,3.02,3.07
3/15/1993,$45.06 ,$45.50 ,$44.97 ,25.85,489600.00,3,15,1993,1993Q1,45.03,6729.5,94.51,109992,3.02,3.07
3/22/1993,$44.59 ,$45.25 ,$44.56 ,25.9,487400.00,3,22,1993,1993Q1,44.91,6729.5,92.92,109992,3.02,3.07
3/29/1993,$44.94 ,$45.47 ,$44.09 ,25.43,443600.00,3,29,1993,1993Q1,44.09,6729.5,92.78,109992,3.02,3.07
4/5/1993,$44.44 ,$44.53 ,$44.06 ,25.54,510700.00,4,5,1993,1993Q2,44.28,6808.9,91.21,109992,3.02,3.07
4/12/1993,$44.72 ,$45.16 ,$44.66 ,25.91,810700.00,4,12,1993,1993Q2,44.94,6808.9,90.67,109992,3.02,3.07
4/19/1993,$44.94 ,$45.06 ,$43.69 ,25.23,708100.00,4,19,1993,1993Q2,43.75,6808.9,90.35,109992,3.02,3.07
4/26/1993,$43.78 ,$44.28 ,$43.28 ,25.39,478800.00,4,26,1993,1993Q2,44.03,6808.9,88.51,109992,3.02,3.07
5/3/1993,$44.09 ,$44.75 ,$43.91 ,25.57,461300.00,5,3,1993,1993Q2,44.34,6808.9,89.32,109992,3.02,3.07
5/10/1993,$44.41 ,$44.69 ,$43.97 ,25.37,380100.00,5,10,1993,1993Q2,44,6808.9,90.52,109992,3.02,3.07
5/17/1993,$44.13 ,$45.25 ,$43.84 ,25.81,509000.00,5,17,1993,1993Q2,44.75,6808.9,90.64,109992,3.02,3.07
5/24/1993,$44.84 ,$45.66 ,$44.84 ,26.08,457600.00,5,24,1993,1993Q2,45.22,6808.9,91.04,109992,3.02,3.07
5/31/1993,$45.38 ,$45.81 ,$45.09 ,26.11,102200.00,5,31,1993,1993Q2,45.28,6808.9,89.08,109992,3.02,3.07
6/7/1993,$45.38 ,$45.38 ,$44.72 ,26,934500.00,6,7,1993,1993Q2,45.09,6808.9,90.42,109992,3.02,3.07
6/14/1993,$45.16 ,$45.19 ,$44.50 ,25.66,633400.00,6,14,1993,1993Q2,44.5,6808.9,90.3,109992,3.02,3.07
6/21/1993,$44.63 ,$44.91 ,$44.22 ,26.01,682900.00,6,21,1993,1993Q2,44.78,6808.9,93.36,109992,3.02,3.07
6/28/1993,$45.00 ,$45.28 ,$44.53 ,25.95,1976100.00,6,28,1993,1993Q2,44.69,6808.9,93.41,109992,3.02,3.07
7/5/1993,$44.63 ,$44.97 ,$44.16 ,26.12,1216500.00,7,5,1993,1993Q3,44.97,6882.1,93.48,109992,3.02,3.07
7/12/1993,$44.91 ,$45.19 ,$44.66 ,25.99,2040800.00,7,12,1993,1993Q3,44.75,6882.1,95.26,109992,3.02,3.07
7/19/1993,$44.75 ,$44.84 ,$44.47 ,25.97,1318000.00,7,19,1993,1993Q3,44.72,6882.1,94.22,109992,3.02,3.07
7/26/1993,$44.84 ,$45.22 ,$44.78 ,26.04,651200.00,7,26,1993,1993Q3,44.84,6882.1,94.76,109992,3.02,3.07
8/2/1993,$44.91 ,$45.19 ,$44.84 ,26.12,996000.00,8,2,1993,1993Q3,44.97,6882.1,94.63,109992,3.02,3.07
8/9/1993,$45.09 ,$45.34 ,$44.91 ,26.21,2382500.00,8,9,1993,1993Q3,45.13,6882.1,94.38,109992,3.02,3.07
