Date_Text,Open,High,Low,Adj Close,Close,Volume
01/00/1900, $43.97 , $43.97 , $43.75 , $25.22 , $43.94 ,"1,003,200"
01/00/1900, $43.97 , $45.09 , $43.97 , $25.81 , $44.97 ,"2,234,800"
01/00/1900, $44.97 , $45.13 , $44.53 , $25.59 , $44.59 ,"1,159,800"
01/00/1900, $44.47 , $44.47 , $42.81 , $25.00 , $43.56 ,"998,700"
01/00/1900, $43.69 , $44.44 , $43.47 , $25.49 , $44.41 ,"1,024,300"
01/00/1900, $44.56 , $45.19 , $44.22 , $25.68 , $44.75 ,"658,500"
01/00/1900, $44.84 , $45.84 , $44.81 , $25.88 , $45.09 ,"1,129,000"
01/00/1900, $45.06 , $45.50 , $44.97 , $25.85 , $45.03 ,"489,600"
01/00/1900, $44.59 , $45.25 , $44.56 , $25.90 , $44.91 ,"487,400"
01/00/1900, $44.94 , $45.47 , $44.09 , $25.43 , $44.09 ,"443,600"
01/00/1900, $44.44 , $44.53 , $44.06 , $25.54 , $44.28 ,"510,700"
01/00/1900, $44.72 , $45.16 , $44.66 , $25.91 , $44.94 ,"810,700"
01/00/1900, $44.94 , $45.06 , $43.69 , $25.23 , $43.75 ,"708,100"
01/00/1900, $43.78 , $44.28 , $43.28 , $25.39 , $44.03 ,"478,800"
01/00/1900, $44.09 , $44.75 , $43.91 , $25.57 , $44.34 ,"461,300"
01/00/1900, $44.41 , $44.69 , $43.97 , $25.37 , $44.00 ,"380,100"
01/00/1900, $44.13 , $45.25 , $43.84 , $25.81 , $44.75 ,"509,000"
01/00/1900, $44.84 , $45.66 , $44.84 , $26.08 , $45.22 ,"457,600"
01/00/1900, $45.38 , $45.81 , $45.09 , $26.11 , $45.28 ,"102,200"
01/00/1900, $45.38 , $45.38 , $44.72 , $26.00 , $45.09 ,"934,500"
01/00/1900, $45.16 , $45.19 , $44.50 , $25.66 , $44.50 ,"633,400"
01/00/1900, $44.63 , $44.91 , $44.22 , $26.01 , $44.78 ,"682,900"
01/00/1900, $45.00 , $45.28 , $44.53 , $25.95 , $44.69 ,"1,976,100"
01/00/1900, $44.63 , $44.97 , $44.16 , $26.12 , $44.97 ,"1,216,500"
01/00/1900, $44.91 , $45.19 , $44.66 , $25.99 , $44.75 ,"2,040,800"
01/00/1900, $44.75 , $44.84 , $44.47 , $25.97 , $44.72 ,"1,318,000"
01/00/1900, $44.84 , $45.22 , $44.78 , $26.04 , $44.84 ,"651,200"
01/00/1900, $44.91 , $45.19 , $44.84 , $26.12 , $44.97 ,"996,000"
01/00/1900, $45.09 , $45.34 , $44.91 , $26.21 , $45.13 ,"2,382,500"
01/00/1900, $45.16 , $45.88 , $45.16 , $26.61 , $45.81 ,"1,134,600"
01/00/1900, $45.63 , $46.53 , $45.63 , $26.86 , $46.25 ,"677,000"
01/00/1900, $46.28 , $46.59 , $46.25 , $26.93 , $46.38 ,"1,489,400"
01/00/1900, $46.38 , $46.44 , $45.59 , $26.95 , $46.41 ,"812,000"
01/00/1900, $46.56 , $46.56 , $45.75 , $26.61 , $45.81 ,"607,600"
01/00/1900, $45.88 , $45.97 , $44.81 , $26.75 , $45.78 ,"957,700"
01/00/1900, $46.13 , $46.31 , $45.81 , $26.97 , $46.16 ,"775,900"
01/00/1900, $46.22 , $46.38 , $45.72 , $26.92 , $46.06 ,"1,798,000"
01/00/1900, $46.16 , $47.16 , $46.16 , $27.50 , $47.06 ,"2,243,000"
01/00/1900, $47.03 , $47.03 , $46.38 , $27.10 , $46.38 ,"2,279,800"
01/00/1900, $46.41 , $46.97 , $46.28 , $27.37 , $46.84 ,"629,400"
